"Code","Class","SourceStatus","DescriptionPreferred","DescriptionBase","DescriptionApp"
"B0038","B","app-only","AUX switch Обрыв/shorted to Батарея",,"AUX switch Обрыв/shorted to Батарея"
"B0040","B","app-only","LF/Водитель Side Срабатывание Контур Сопротивление Низкий",,"LF/Водитель Side Срабатывание Контур Сопротивление Низкий"
"B0041","B","app-only","LF/Водитель Side Срабатывание Контур Обрыв",,"LF/Водитель Side Срабатывание Контур Обрыв"
"B0045","B","app-only","LF Side Deploy Контур Короткое замыкание на массу/Напряжение Out of Range",,"LF Side Deploy Контур Короткое замыкание на массу/Напряжение Out of Range"
"B0051","B","app-only","Срабатывание Запрошенный",,"Срабатывание Запрошенный"
"B0053","B","app-only","Срабатывание Запрошенный with Контур Malfunctions Present",,"Срабатывание Запрошенный with Контур Malfunctions Present"
"B0057","B","app-only","RF/Пассажир Pretensioner Срабатывание Контур Сопротивление Низкий",,"RF/Пассажир Pretensioner Срабатывание Контур Сопротивление Низкий"
"B0058","B","app-only","RF/Пассажир Pretensioner Срабатывание Контур Обрыв",,"RF/Пассажир Pretensioner Срабатывание Контур Обрыв"
"B0059","B","app-only","RF/Пассажир Pretensioner Срабатывание Контур Короткое замыкание на массу/Напряжение Out of Range",,"RF/Пассажир Pretensioner Срабатывание Контур Короткое замыкание на массу/Напряжение Out of Range"
"B0064","B","app-only","LF/Водитель Pretensioner Срабатывание Контур Сопротивление Низкий",,"LF/Водитель Pretensioner Срабатывание Контур Сопротивление Низкий"
"B0065","B","app-only","LF/Водитель Pretensioner Срабатывание Контур Обрыв",,"LF/Водитель Pretensioner Срабатывание Контур Обрыв"
"B0066","B","app-only","LF/Водитель Pretensioner Срабатывание Контур Короткое замыкание на массу/Напряжение Out of Range",,"LF/Водитель Pretensioner Срабатывание Контур Короткое замыкание на массу/Напряжение Out of Range"
"B0073","B","app-only","Supplemental Срабатывание Контур #1 Сопротивление Низкий",,"Supplemental Срабатывание Контур #1 Сопротивление Низкий"
"B0074","B","app-only","Supplemental Срабатывание Контур #1 Обрыв",,"Supplemental Срабатывание Контур #1 Обрыв"
"B0075","B","app-only","Supplemental Срабатывание Контур #1 Короткое замыкание на массу/Напряжение Out of Range",,"Supplemental Срабатывание Контур #1 Короткое замыкание на массу/Напряжение Out of Range"
"B0077","B","app-only","LF/Водитель SIS Неисправность",,"LF/Водитель SIS Неисправность"
"B0078","B","app-only","RF/Пассажир SIS Неисправность",,"RF/Пассажир SIS Неисправность"
"B0079","B","app-only","Incorrect LF/Водитель SIS Installed",,"Incorrect LF/Водитель SIS Installed"
"B0080","B","app-only","Discard LF/Водитель SIS",,"Discard LF/Водитель SIS"
"B0081","B","app-only","Incorrect RF/Пассажир SIS Installed",,"Incorrect RF/Пассажир SIS Installed"
"B0082","B","app-only","Discard RF/Пассажир SIS",,"Discard RF/Пассажир SIS"
"B0086","B","app-only","Supplemental Срабатывание Контур #2 Сопротивление Низкий",,"Supplemental Срабатывание Контур #2 Сопротивление Низкий"
"B0087","B","app-only","Supplemental Срабатывание Контур #2 Обрыв",,"Supplemental Срабатывание Контур #2 Обрыв"
"B0088","B","app-only","Supplemental Срабатывание Контур #2 Короткое замыкание на массу/Напряжение Out of Range",,"Supplemental Срабатывание Контур #2 Короткое замыкание на массу/Напряжение Out of Range"
"B0090","B","app-only","Active switch Напряжение out of range",,"Active switch Напряжение out of range"
"B0091","B","app-only","Active switch: wrong state",,"Active switch: wrong state"
"B0092","B","app-only","PPS Пассажир detection error",,"PPS Пассажир detection error"
"B0093","B","app-only","PPS/CPS self-test Неисправность",,"PPS/CPS self-test Неисправность"
"B0094","B","app-only","CPS childseat detection error",,"CPS childseat detection error"
"B0095","B","app-only","SDM-PPS/CPS mismatch Неисправность",,"SDM-PPS/CPS mismatch Неисправность"
"B0126","B","app-only","Right Panel Discharge Температура Fault",,"Right Panel Discharge Температура Fault"
"B0131","B","app-only","Right Нагреватель Discharge Температура Fault",,"Right Нагреватель Discharge Температура Fault"
"B0159","B","app-only","Outside Воздух Температура Датчик Цепь Диапазон/Производительность",,"Outside Воздух Температура Датчик Цепь Диапазон/Производительность"
"B0164","B","app-only","Пассажир Compartment Температура Датчик #1 (Single Датчик or LH) Цепь Диапазон/Производительность",,"Пассажир Compartment Температура Датчик #1 (Single Датчик or LH) Цепь Диапазон/Производительность"
"B0169","B","both","Passenger Compartment In-Car Temperature Sensor Failure","Passenger Compartment In-Car Temperature Sensor Failure","In-car Temp Датчик Failure (Пассажир -not used)"
"B0174","B","app-only","Выход Воздух Температура Датчик #1 (Upper; Single or LH) Цепь Диапазон/Производительность",,"Выход Воздух Температура Датчик #1 (Upper; Single or LH) Цепь Диапазон/Производительность"
"B0179","B","app-only","Выход Воздух Температура Датчик #2 (Lower; Single or LH) Цепь Диапазон/Производительность",,"Выход Воздух Температура Датчик #2 (Lower; Single or LH) Цепь Диапазон/Производительность"
"B0184","B","app-only","Solar Нагрузка Датчик #1 CKT Range",,"Solar Нагрузка Датчик #1 CKT Range"
"B0189","B","app-only","Solar Нагрузка Датчик #2 CKT Range",,"Solar Нагрузка Датчик #2 CKT Range"
"B0248","B","app-only","Mode Door Inoperative Error",,"Mode Door Inoperative Error"
"B0249","B","app-only","Нагреватель/Defrost/AC Door Range Error",,"Нагреватель/Defrost/AC Door Range Error"
"B0268","B","app-only","A/I Door Inoperative Error",,"A/I Door Inoperative Error"
"B0269","B","app-only","Воздух Inlet Door Range Error",,"Воздух Inlet Door Range Error"
"B0408","B","app-only","Температура Управление #1 (Main/Front) Цепь Неисправность",,"Температура Управление #1 (Main/Front) Цепь Неисправность"
"B0409","B","app-only","Воздух Mix Door #1 Range Error",,"Воздух Mix Door #1 Range Error"
"B0419","B","app-only","Воздух Mix Door #2 Range Error",,"Воздух Mix Door #2 Range Error"
"B0423","B","app-only","Воздух Mix Door #2 Inoperative Error",,"Воздух Mix Door #2 Inoperative Error"
"B0428","B","app-only","Воздух Mix Door #3 Inoperative Error",,"Воздух Mix Door #3 Inoperative Error"
"B0429","B","app-only","Температура Управление #3 Rear Цепь Диапазон/Производительность",,"Температура Управление #3 Rear Цепь Диапазон/Производительность"
"B0510","B","app-only","RH Panel Discharge Temp Датчик Failure",,"RH Panel Discharge Temp Датчик Failure"
"B0515","B","app-only","RH Нагреватель Discharge Temp Датчик Failure",,"RH Нагреватель Discharge Temp Датчик Failure"
"B0520","B","both","Rear Discharge Air Temperature Sensor Failure","Rear Discharge Air Temperature Sensor Failure","Rear Discharge Temp Датчик Failure"
"B0530","B","app-only","Топливо Level Датчик Заклинило",,"Топливо Level Датчик Заклинило"
"B0532","B","app-only","Топливо Датчик Shorted To Масса",,"Топливо Датчик Shorted To Масса"
"B0533","B","app-only","Топливо Датчик Обрыв/Shorted To B+",,"Топливо Датчик Обрыв/Shorted To B+"
"B0688","B","app-only","Security Система Индикатор Цепь Высокий",,"Security Система Индикатор Цепь Высокий"
"B0768","B","both","Service Indicator Circuit High","Service Indicator Circuit High","Service Индикатор Цепь Высокий"
"B0846","B","app-only","+5 Volt Reference Out of Range",,"+5 Volt Reference Out of Range"
"B0856","B","app-only","Батарея 2 Out of Range",,"Батарея 2 Out of Range"
"B1200","B","base-only","Climate Управление Pushbutton Цепь Failure","Climate Управление Pushbutton Цепь Failure",
"B1201","B","base-only","Топливо Sender Цепь Failure","Топливо Sender Цепь Failure",
"B1202","B","base-only","Топливо Sender Цепь Обрыв","Топливо Sender Цепь Обрыв",
"B1203","B","base-only","Топливо Sender Цепь Короткое замыкание на батарею","Топливо Sender Цепь Короткое замыкание на батарею",
"B1204","B","base-only","Топливо Sender Цепь Короткое замыкание на массу","Топливо Sender Цепь Короткое замыкание на массу",
"B1205","B","base-only","EIC Switch-1 Assembly Цепь Failure","EIC Switch-1 Assembly Цепь Failure",
"B1206","B","base-only","EIC Switch-1 Assembly Цепь Обрыв","EIC Switch-1 Assembly Цепь Обрыв",
"B1207","B","base-only","EIC Switch-1 Assembly Цепь Короткое замыкание на батарею","EIC Switch-1 Assembly Цепь Короткое замыкание на батарею",
"B1208","B","base-only","EIC Switch-1 Assembly Цепь Короткое замыкание на массу","EIC Switch-1 Assembly Цепь Короткое замыкание на массу",
"B1209","B","base-only","EIC Switch-2 Assembly Цепь Failure","EIC Switch-2 Assembly Цепь Failure",
"B1210","B","base-only","EIC Switch-2 Assembly Цепь Обрыв","EIC Switch-2 Assembly Цепь Обрыв",
"B1211","B","base-only","EIC Switch-2 Assembly Цепь Короткое замыкание на батарею","EIC Switch-2 Assembly Цепь Короткое замыкание на батарею",
"B1212","B","base-only","EIC Switch-2 Assembly Цепь Короткое замыкание на массу","EIC Switch-2 Assembly Цепь Короткое замыкание на массу",
"B1213","B","base-only","Anti-Theft Number of Programmed Keys Is Below Minimum","Anti-Theft Number of Programmed Keys Is Below Minimum",
"B1214","B","base-only","Running Board Лампа Цепь Failure","Running Board Лампа Цепь Failure",
"B1215","B","base-only","Running Board Лампа Цепь Короткое замыкание на батарею","Running Board Лампа Цепь Короткое замыкание на батарею",
"B1216","B","base-only","Emergency & Road Side Assistance Switch Цепь Короткое замыкание на массу","Emergency & Road Side Assistance Switch Цепь Короткое замыкание на массу",
"B1217","B","base-only","Horn Relay Катушка Цепь Failure","Horn Relay Катушка Цепь Failure",
"B1218","B","base-only","Horn Relay Катушка Цепь Короткое замыкание to Vbatt","Horn Relay Катушка Цепь Короткое замыкание to Vbatt",
"B1219","B","base-only","Топливо Tank Давление Датчик Цепь Failure","Топливо Tank Давление Датчик Цепь Failure",
"B1220","B","base-only","Топливо Tank Давление Датчик Цепь Обрыв","Топливо Tank Давление Датчик Цепь Обрыв",
"B1222","B","base-only","Топливо Температура Датчик #1 Цепь Failure","Топливо Температура Датчик #1 Цепь Failure",
"B1223","B","base-only","Топливо Температура Датчик #1 Цепь Обрыв","Топливо Температура Датчик #1 Цепь Обрыв",
"B1224","B","base-only","Топливо Температура Датчик #1 Цепь Короткое замыкание на батарею","Топливо Температура Датчик #1 Цепь Короткое замыкание на батарею",
"B1225","B","base-only","Топливо Температура Датчик #1 Цепь Короткое замыкание на массу","Топливо Температура Датчик #1 Цепь Короткое замыкание на массу",
"B1226","B","base-only","Топливо Температура Датчик #2 Цепь Failure","Топливо Температура Датчик #2 Цепь Failure",
"B1227","B","base-only","Топливо Температура Датчик #2 Цепь Обрыв","Топливо Температура Датчик #2 Цепь Обрыв",
"B1228","B","base-only","Топливо Температура Датчик #2 Цепь Короткое замыкание на батарею","Топливо Температура Датчик #2 Цепь Короткое замыкание на батарею",
"B1229","B","base-only","Топливо Температура Датчик #2 Цепь Короткое замыкание на массу","Топливо Температура Датчик #2 Цепь Короткое замыкание на массу",
"B1231","B","base-only","Longitudinal Acceleration Порог Exceeded","Longitudinal Acceleration Порог Exceeded",
"B1232","B","base-only","See Manufacturer","See Manufacturer",
"B1233","B","base-only","Glass Break Датчик Failure","Glass Break Датчик Failure",
"B1234","B","base-only","Mirror Switch Неверный Code","Mirror Switch Неверный Code",
"B1235","B","base-only","Window Feedback Failure","Window Feedback Failure",
"B1236","B","base-only","Window Feedback Loss of Сигнал","Window Feedback Loss of Сигнал",
"B1237","B","base-only","Window Feedback Out of Range","Window Feedback Out of Range",
"B1238","B","base-only","Over Температура Fault","Over Температура Fault",
"B1239","B","base-only","Воздух Поток Blend Door Водитель Цепь Failure","Воздух Поток Blend Door Водитель Цепь Failure",
"B1240","B","base-only","Wiper Washer Rear Насос Relay Цепь Failure","Wiper Washer Rear Насос Relay Цепь Failure",
"B1241","B","base-only","Wiper Washer Rear Насос Relay Цепь Короткое замыкание на батарею","Wiper Washer Rear Насос Relay Цепь Короткое замыкание на батарею",
"B1242","B","base-only","Воздух Поток Recirculation Door Водитель Цепь Failure","Воздух Поток Recirculation Door Водитель Цепь Failure",
"B1243","B","base-only","Express Window Down Switch Цепь Короткое замыкание на батарею","Express Window Down Switch Цепь Короткое замыкание на батарею",
"B1244","B","base-only","Wiper Rear Motor Run Relay Цепь Failure","Wiper Rear Motor Run Relay Цепь Failure",
"B1245","B","base-only","Wiper Rear Motor Run Relay Цепь Короткое замыкание на батарею","Wiper Rear Motor Run Relay Цепь Короткое замыкание на батарею",
"B1246","B","base-only","Dim Panel Potentiometer Switch Цепь Failure","Dim Panel Potentiometer Switch Цепь Failure",
"B1247","B","base-only","Panel Dim Switch Цепь Обрыв","Panel Dim Switch Цепь Обрыв",
"B1248","B","base-only","Пассажир's Seatback Autoglide Rearward Switch Цепь Короткое замыкание на массу","Пассажир's Seatback Autoglide Rearward Switch Цепь Короткое замыкание на массу",
"B1249","B","base-only","Blend Door Failure","Blend Door Failure",
"B1250","B","base-only","Воздух Температура Internal Датчик Цепь Failure","Воздух Температура Internal Датчик Цепь Failure",
"B1251","B","base-only","Воздух Температура Internal Датчик Цепь Обрыв","Воздух Температура Internal Датчик Цепь Обрыв",
"B1252","B","base-only","Воздух Температура Internal Датчик Цепь Короткое замыкание на батарею","Воздух Температура Internal Датчик Цепь Короткое замыкание на батарею",
"B1253","B","base-only","Воздух Температура Internal Датчик Цепь Короткое замыкание на массу","Воздух Температура Internal Датчик Цепь Короткое замыкание на массу",
"B1254","B","base-only","Воздух Температура External Датчик Цепь Failure","Воздух Температура External Датчик Цепь Failure",
"B1255","B","base-only","Воздух Температура External Датчик Цепь Обрыв","Воздух Температура External Датчик Цепь Обрыв",
"B1256","B","base-only","Воздух Температура External Датчик Цепь Короткое замыкание на батарею","Воздух Температура External Датчик Цепь Короткое замыкание на батарею",
"B1257","B","base-only","Воздух Температура External Датчик Цепь Короткое замыкание на массу","Воздух Температура External Датчик Цепь Короткое замыкание на массу",
"B1258","B","base-only","Solar Radiation Датчик Цепь Failure","Solar Radiation Датчик Цепь Failure",
"B1259","B","base-only","Solar Radiation Датчик Цепь Обрыв","Solar Radiation Датчик Цепь Обрыв",
"B1260","B","base-only","Solar Radiation Датчик Цепь Короткое замыкание на батарею","Solar Radiation Датчик Цепь Короткое замыкание на батарею",
"B1261","B","base-only","Solar Radiation Датчик Цепь Короткое замыкание на массу","Solar Radiation Датчик Цепь Короткое замыкание на массу",
"B1262","B","base-only","Servo Motor Defrost Цепь Failure","Servo Motor Defrost Цепь Failure",
"B1263","B","base-only","Servo Motor Вентиляция Цепь Failure","Servo Motor Вентиляция Цепь Failure",
"B1264","B","base-only","Servo Motor Foot Цепь Failure","Servo Motor Foot Цепь Failure",
"B1265","B","base-only","Servo Motor Coolair Байпас Цепь Failure","Servo Motor Coolair Байпас Цепь Failure",
"B1266","B","base-only","Servo Motor Airintake Left Цепь Failure","Servo Motor Airintake Left Цепь Failure",
"B1267","B","base-only","Servo Motor Airintake Right Цепь Failure","Servo Motor Airintake Right Цепь Failure",
"B1268","B","base-only","Servo Motor Potentiometer Defrost Цепь Failure","Servo Motor Potentiometer Defrost Цепь Failure",
"B1269","B","base-only","Servo Motor Potentiometer Defrost Цепь Обрыв","Servo Motor Potentiometer Defrost Цепь Обрыв",
"B1270","B","base-only","Servo Motor Potentiometer Defrost Цепь Короткое замыкание на батарею","Servo Motor Potentiometer Defrost Цепь Короткое замыкание на батарею",
"B1271","B","base-only","Servo Motor Potentiometer Defrost Цепь Короткое замыкание на массу","Servo Motor Potentiometer Defrost Цепь Короткое замыкание на массу",
"B1272","B","base-only","Servo Motor Potentiometer Вентиляция Цепь Failure","Servo Motor Potentiometer Вентиляция Цепь Failure",
"B1273","B","base-only","Servo Motor Potentiometer Вентиляция Цепь Обрыв","Servo Motor Potentiometer Вентиляция Цепь Обрыв",
"B1274","B","base-only","Servo Motor Potentiometer Вентиляция Цепь Короткое замыкание на батарею","Servo Motor Potentiometer Вентиляция Цепь Короткое замыкание на батарею",
"B1275","B","base-only","Servo Motor Potentiometer Вентиляция Цепь Короткое замыкание на массу","Servo Motor Potentiometer Вентиляция Цепь Короткое замыкание на массу",
"B1276","B","base-only","Servo Motor Potentiometer Foot Цепь Failure","Servo Motor Potentiometer Foot Цепь Failure",
"B1277","B","base-only","Servo Motor Potentiometer Foot Цепь Обрыв","Servo Motor Potentiometer Foot Цепь Обрыв",
"B1278","B","base-only","Servo Motor Potentiometer Foot Цепь Короткое замыкание на батарею","Servo Motor Potentiometer Foot Цепь Короткое замыкание на батарею",
"B1279","B","base-only","Servo Motor Potentiometer Foot Цепь Короткое замыкание на массу","Servo Motor Potentiometer Foot Цепь Короткое замыкание на массу",
"B1280","B","base-only","Servo Motor Potentiometer Coolair Цепь Failure","Servo Motor Potentiometer Coolair Цепь Failure",
"B1281","B","base-only","Servo Motor Potentiometer Coolair Цепь Обрыв","Servo Motor Potentiometer Coolair Цепь Обрыв",
"B1282","B","base-only","Servo Motor Potentiometer Coolair Цепь Короткое замыкание на батарею","Servo Motor Potentiometer Coolair Цепь Короткое замыкание на батарею",
"B1283","B","base-only","Servo Motor Potentiometer Coolair Цепь Короткое замыкание на массу","Servo Motor Potentiometer Coolair Цепь Короткое замыкание на массу",
"B1284","B","base-only","Servo Motor Potentiometer Airintake Left Цепь Failure","Servo Motor Potentiometer Airintake Left Цепь Failure",
"B1285","B","base-only","Servo Motor Potentiometer Airintake Left Цепь Обрыв","Servo Motor Potentiometer Airintake Left Цепь Обрыв",
"B1286","B","base-only","Servo Motor Potentiometer Airintake Left Цепь Короткое замыкание на батарею","Servo Motor Potentiometer Airintake Left Цепь Короткое замыкание на батарею",
"B1287","B","base-only","Servo Motor Potentiometer Airintake Left Цепь Короткое замыкание на массу","Servo Motor Potentiometer Airintake Left Цепь Короткое замыкание на массу",
"B1288","B","base-only","Servo Motor Potentiometer Airintake Right Цепь Failure","Servo Motor Potentiometer Airintake Right Цепь Failure",
"B1289","B","base-only","Servo Motor Potentiometer Airintake Right Цепь Обрыв","Servo Motor Potentiometer Airintake Right Цепь Обрыв",
"B1290","B","base-only","Servo Motor Potentiometer Airintake Right Цепь Короткое замыкание на батарею","Servo Motor Potentiometer Airintake Right Цепь Короткое замыкание на батарею",
"B1291","B","base-only","Servo Motor Potentiometer Airintake Right Цепь Короткое замыкание на массу","Servo Motor Potentiometer Airintake Right Цепь Короткое замыкание на массу",
"B1292","B","base-only","Батарея Power Relay Цепь Failure","Батарея Power Relay Цепь Failure",
"B1293","B","base-only","Батарея Power Relay Цепь Обрыв","Батарея Power Relay Цепь Обрыв",
"B1294","B","base-only","Батарея Power Relay Цепь Короткое замыкание на батарею","Батарея Power Relay Цепь Короткое замыкание на батарею",
"B1295","B","base-only","Батарея Power Relay Цепь Короткое замыкание на массу","Батарея Power Relay Цепь Короткое замыкание на массу",
"B1296","B","base-only","Power Supply Датчик Цепь Failure","Power Supply Датчик Цепь Failure",
"B1297","B","base-only","Power Supply Датчик Цепь Обрыв","Power Supply Датчик Цепь Обрыв",
"B1298","B","base-only","Power Supply Датчик Цепь Короткое замыкание на батарею","Power Supply Датчик Цепь Короткое замыкание на батарею",
"B1299","B","base-only","Power Supply Датчик Цепь Короткое замыкание на массу","Power Supply Датчик Цепь Короткое замыкание на массу",
"B1300","B","base-only","Power Door Lock Цепь Failure","Power Door Lock Цепь Failure",
"B1301","B","base-only","Power Door Lock Цепь Обрыв","Power Door Lock Цепь Обрыв",
"B1302","B","base-only","Accessory Delay Relay Катушка Цепь Failure","Accessory Delay Relay Катушка Цепь Failure",
"B1303","B","base-only","Accessory Delay Relay Катушка Цепь Обрыв","Accessory Delay Relay Катушка Цепь Обрыв",
"B1304","B","base-only","Accessory Delay Relay Катушка Цепь Короткое замыкание на батарею","Accessory Delay Relay Катушка Цепь Короткое замыкание на батарею",
"B1305","B","base-only","Accessory Delay Relay Катушка Цепь Короткое замыкание на массу","Accessory Delay Relay Катушка Цепь Короткое замыкание на массу",
"B1306","B","base-only","Oil Level Switch Цепь Обрыв","Oil Level Switch Цепь Обрыв",
"B1307","B","base-only","Oil Level Switch Цепь Короткое замыкание на батарею","Oil Level Switch Цепь Короткое замыкание на батарею",
"B1308","B","base-only","Oil Level Switch Цепь Короткое замыкание на массу","Oil Level Switch Цепь Короткое замыкание на массу",
"B1309","B","base-only","Power Door Lock Цепь Короткое замыкание на массу","Power Door Lock Цепь Короткое замыкание на массу",
"B1310","B","base-only","Power Door Unlock Цепь Failure","Power Door Unlock Цепь Failure",
"B1311","B","base-only","Power Door Unlock Цепь Обрыв","Power Door Unlock Цепь Обрыв",
"B1312","B","base-only","Лампа Headlamp Вход Цепь Короткое замыкание на батарею","Лампа Headlamp Вход Цепь Короткое замыкание на батарею",
"B1313","B","base-only","Батарея Saver Relay Катушка Цепь Failure","Батарея Saver Relay Катушка Цепь Failure",
"B1314","B","base-only","Батарея Saver Relay Катушка Цепь Обрыв","Батарея Saver Relay Катушка Цепь Обрыв",
"B1315","B","base-only","Батарея Saver Relay Катушка Цепь Короткое замыкание на батарею","Батарея Saver Relay Катушка Цепь Короткое замыкание на батарею",
"B1316","B","base-only","Батарея Saver Relay Катушка Цепь Короткое замыкание на массу","Батарея Saver Relay Катушка Цепь Короткое замыкание на массу",
"B1317","B","base-only","Батарея Напряжение Высокий","Батарея Напряжение Высокий",
"B1318","B","base-only","Батарея Напряжение Низкий","Батарея Напряжение Низкий",
"B1319","B","base-only","Водитель Door Ajar Цепь Failure","Водитель Door Ajar Цепь Failure",
"B1320","B","base-only","Водитель Door Ajar Цепь Обрыв","Водитель Door Ajar Цепь Обрыв",
"B1321","B","base-only","Водитель Door Ajar Цепь Короткое замыкание на батарею","Водитель Door Ajar Цепь Короткое замыкание на батарею",
"B1322","B","base-only","Водитель Door Ajar Цепь Короткое замыкание на массу","Водитель Door Ajar Цепь Короткое замыкание на массу",
"B1323","B","base-only","Door Ajar Лампа Цепь Failure","Door Ajar Лампа Цепь Failure",
"B1324","B","base-only","Door Ajar Лампа Цепь Обрыв","Door Ajar Лампа Цепь Обрыв",
"B1325","B","base-only","Door Ajar Лампа Цепь Короткое замыкание на батарею","Door Ajar Лампа Цепь Короткое замыкание на батарею",
"B1326","B","base-only","Door Ajar Лампа Цепь Короткое замыкание на массу","Door Ajar Лампа Цепь Короткое замыкание на массу",
"B1327","B","base-only","Пассажир Door Ajar Цепь Failure","Пассажир Door Ajar Цепь Failure",
"B1328","B","base-only","Пассажир Door Ajar Цепь Обрыв","Пассажир Door Ajar Цепь Обрыв",
"B1329","B","base-only","Пассажир Door Ajar Цепь Короткое замыкание на батарею","Пассажир Door Ajar Цепь Короткое замыкание на батарею",
"B1330","B","base-only","Пассажир Door Ajar Цепь Короткое замыкание на массу","Пассажир Door Ajar Цепь Короткое замыкание на массу",
"B1331","B","base-only","Decklid Ajar Rear Door Цепь Failure","Decklid Ajar Rear Door Цепь Failure",
"B1332","B","base-only","Decklid Ajar Rear Door Цепь Обрыв","Decklid Ajar Rear Door Цепь Обрыв",
"B1333","B","base-only","Decklid Ajar Rear Door Цепь Короткое замыкание на батарею","Decklid Ajar Rear Door Цепь Короткое замыкание на батарею",
"B1334","B","base-only","Decklid Ajar Rear Door Цепь Короткое замыкание на массу","Decklid Ajar Rear Door Цепь Короткое замыкание на массу",
"B1335","B","base-only","Door Ajar RR Цепь Failure","Door Ajar RR Цепь Failure",
"B1336","B","base-only","Door Ajar RR Цепь Обрыв","Door Ajar RR Цепь Обрыв",
"B1337","B","base-only","Door Ajar RR Цепь Короткое замыкание на батарею","Door Ajar RR Цепь Короткое замыкание на батарею",
"B1338","B","base-only","Door Ajar RR Цепь Короткое замыкание на массу","Door Ajar RR Цепь Короткое замыкание на массу",
"B1339","B","base-only","Chime Вход Запрос Цепь Короткое замыкание на батарею","Chime Вход Запрос Цепь Короткое замыкание на батарею",
"B1340","B","base-only","Chime Вход Запрос Цепь Короткое замыкание на массу","Chime Вход Запрос Цепь Короткое замыкание на массу",
"B1341","B","base-only","Power Door Unlock Цепь Короткое замыкание на массу","Power Door Unlock Цепь Короткое замыкание на массу",
"B1342","B","base-only","ECU Is Defective","ECU Is Defective",
"B1343","B","base-only","Heated Backlite Вход Цепь Failure","Heated Backlite Вход Цепь Failure",
"B1344","B","base-only","Heated Backlite Вход Цепь Обрыв","Heated Backlite Вход Цепь Обрыв",
"B1345","B","base-only","Heated Backlite Вход Цепь Короткое замыкание на массу","Heated Backlite Вход Цепь Короткое замыкание на массу",
"B1346","B","base-only","Heated Backlite Вход Цепь Короткое замыкание на батарею","Heated Backlite Вход Цепь Короткое замыкание на батарею",
"B1347","B","base-only","Heated Backlite Relay Цепь Failure","Heated Backlite Relay Цепь Failure",
"B1348","B","base-only","Heated Backlite Relay Цепь Обрыв","Heated Backlite Relay Цепь Обрыв",
"B1349","B","base-only","Heated Backlite Relay Короткое замыкание на батарею","Heated Backlite Relay Короткое замыкание на батарею",
"B1350","B","base-only","Heated Backlite Relay Короткое замыкание на массу","Heated Backlite Relay Короткое замыкание на массу",
"B1351","B","base-only","Зажигание Key-In Цепь Короткое замыкание на батарею","Зажигание Key-In Цепь Короткое замыкание на батарею",
"B1352","B","base-only","Зажигание Key-In Цепь Failure","Зажигание Key-In Цепь Failure",
"B1353","B","base-only","Зажигание Key-In Цепь Обрыв","Зажигание Key-In Цепь Обрыв",
